"Authors","Author full names","Author(s) ID","Title","Year","Source title","Link","Abstract","Author Keywords","Index Keywords"
"SPANDAU A.","SPANDAU, ARNT (6504714946)","6504714946","DO THE GENERAL LAWS OF ECONOMICS APPLY TO UNDERDEVELOPED COUNTRIES? GUNNAR MYRDAL'S “ECONOMIC THEORY AND UNDERDEVELOPED REGIONS” IN RETROSPECT","1968","South African Journal of Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977725844&doi=10.1111%2fj.1813-6982.1968.tb02297.x&partnerID=40&md5=f93f4dfc0e04b8a34b46e7e1032ef183","[No abstract available]","",""
"","","","Book Reviews","1969","The Manchester School","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980104028&doi=10.1111%2fj.1467-9957.1969.tb01090.x&partnerID=40&md5=2fe2e3fb64c9aeb2dcd955573ea0dd9c","Book reviewed in this article Macro‐economic Theory, a Mathematical Treatment. By K. G. D. Allen. Britain's Economic Prospects. By Richard E. Caves and Associates. The Economics of Money. By A. C. L. Day. Public Policies and Private Investment. By John F. Helliwell. Economics and Economic Policy in Britain 1946‐1966. By T. W. Hutchison. The Structure of Earnings. By H. F. Lydall. National Accounts Statistics: Sources and Methods. Edited by Rita Maurice. An Introduction to the Theory of Finance. By Basil J. Moore Public Sector Economics. Edited by A. R. Prest. The Theory of Economic Development. By Lord Robbins. The Crisis of Indian Planning : Economic Policy in the 1960's. Edited by Paul Streeten and Michael Lipton. Analytical Techniques for Development Planning. An Introduction to Econometrics. By A. A. Walters. Essays in Money and Banking in Honour of R. S. Sayers. Edited by C. R. Whittlesey and J. S. G. Wilson. Copyright © 1969, Wiley Blackwell. All rights reserved","",""
"SCHMITZ ANDREW.","SCHMITZ, ANDREW. (36004395200)","36004395200","CANADIAN WHEAT ACREAGE RESPONSE*","1968","Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977691556&doi=10.1111%2fj.1744-7976.1968.tb02433.x&partnerID=40&md5=ad08c0915fbff4b3a1f4570300e156ba","In spite of the criticisms which have been levied against statistical estimation of supply response, it is used in this study to determine the factors causing yearly fluctuations in Canadian wheat acreage. The estimates are derived from 1947–1966 time series data. In formulating price expectations, both the traditional and distributed lag models are used. It was found that wheat acreage response is not a random process. From a statistical standpoint, wheat and flax prices, wheat stocks on farms, and export sales did affect farmers' wheat acreage decisions. Among the elasticities computed, those for wheat prices were the largest but generally less than one. Barley prices, rainfall prior to seeding, and cattle prices were also considered but did not appear to have a serious influence on wheat acreage. © 1968 by the Canadian Agricultural Economics Society","",""
"Gilson J.C.","Gilson, J.C. (57527916600)","57527916600","The Demand for Agricultural Economists by Canadian Universities and Governments","1969","Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977686413&doi=10.1111%2fj.1744-7976.1969.tb01104.x&partnerID=40&md5=5a662eb74f20a0adfd93d71339a7696d","The author reviews the recent history of public support for agricultural economics in Canada, and reports on a survey of present and projected needs for agricultural economists in public institutions. An overall growth in staff requirements of 130 per cent is foreseen from 1969–1975, with the largest increases occurring at the Master's (200 per cent) and PhD. (300 per cent) levels. Areas which are expected to grow especially rapidly include marketing, natural resources, regional development, and interdisciplinary studies. LA DEMANDE EN ÉCONOMISTES AGRICOLES PAR LES UNIVERSITÉS ET GOUVERNEMENTS CANADAIEN5 – L'auteur examine la récente histoire de tappui du public pour l'éiconomie agricole au Canada, et présente un rapport sur un relevé des besoins presents et futurs d'économistes agricoles dans les institutions publique. On prévoit un accroissement général de 130% des besoins en personnel de 1969 à 1975, les plus forts augmentations se sltuant aux niveau de la mattrise (200%) et du doctoral (300%). Les domaines où on s'attend à une croissance particuliegrement rapide comprennent la mise en marché, les ressources naturelles, le développment régional et les études interdisciplinaires. Copyright © 1969, Wiley Blackwell. All rights reserved","",""
"Engel N.Eugene.; Johnson S.R.","Engel, N.Eugene. (57190144828); Johnson, S.R. (8969005400)","57190144828; 8969005400","SPATIAL PRICE EQUILIBRIUM AND PRICE VARIABILITY: AN APPLICATION TO THE FALL POTATO INDUSTRY*","1969","Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945079408&doi=10.1111%2fj.1744-7976.1969.tb02466.x&partnerID=40&md5=de7fc9e6965947038f469cb294a555a0","The purpose of this paper is to show that spatial price equilibrium models with stochastic supply functions can be solved and that such solutions contain some interesting information. The solution procedure suggested is relatively uncomplicated, requiring only quadratic programming routines available to most researchers. Estimates of price distributions which result from this approach can be quite useful for price forecasting and for decision making at firm and industry levels. The importance of the additional information obtained by solving these models stochastically is discussed in connection with a amplified model of the United States fall potato industry. Results of the application reveal that changing production patterns have given rise to substantive shifts in annual prices distributions in important consumption areas. EQUILIBRE ET VARIATIONS DANS LES PRIX DE PRODUCTION DES POMMESDE TERRE D'AUTOMNE ‐ Cette communication a pour objet de démontrer qu'il y a moyen d'établir un équilibre des prix en function des approvisionnements de denrées et que les solutions possibles contiennent plusieurs éléments intéressants. La solution proposée est relativement simple et s'obtient par la methode de programmation quadratique qu'utilisent constamment la plupart des chercheurs. Les données auxquelles on arrive à l'aide de cette méthode permettent d'établir des projections de prix qui ont lew utilité tant au niveau des entreprises qu'à celui de l'ensemble de ce secteur de l'économie. Pour bien faire comprendre la valeur des renseignements additionnels obtenus par cette méthode, qui est basée sur les prix et les approvisionnements, on recourt, à titre d'exemple, à une analyse simplifiée de la situation telle qu'elle existe dans le secteur de la production des pommes de terre d'automne, aux Etat‐Unis. Il s'avère, en somme, que les transformations qui se produisent au niveau de la production influent de façon radicale sur les prix qui sont obtenus chaque année dans les grands centres de consummation. © 1969 by the Canadian Agricultural Economics Society","",""
"Willis J.F.; Minden A.J.; Snyder J.C.","Willis, J.F. (57190144431); Minden, A.J. (57101262800); Snyder, J.C. (59631173800)","57190144431; 57101262800; 59631173800","MONTE CARLO SIMULATION OF MANAGEMENT SYSTEMS","1969","Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977692520&doi=10.1111%2fj.1744-7976.1969.tb02468.x&partnerID=40&md5=7a5c8e066aea22aec6f4fd4c7a68ac41","The use of Monte Carlo simulation has been retarded by the haze of confusion stemming from unfamiliarity with the tool and the way it is often presented. This article presents an overview of how Monte Carlo simulation can be used in a variety of management situations, and outlines characteristics of and requirements for its successful application. Applications of Monte Carlo procedures in production economics and in production planning and inventory control are illustrated, with a view to improving understanding of Monte Carlo methods, as a toot of significant value in research and practical business management. LES MODELES DE SIMULATION DE LA TECHNIQUE MONTE CARLO ‐ L'usage de la technique Monte Carlo a ralenti quelque peu, à cause de l'incertitude et la façon dont le sujet a déjà été présenté. Cet etude présents un aperçu de cette technique et son usage dans diverses situations administrates. Elle souligne aussi quelques caractéristiques pour une meillewe application. Les méthodes à employer dans le dirigisme économique sont aussi illustrées Monte Carlo simulation is not a substitute for proper theoretical model construction, nor is it a substitute for proper experimental design and statistical analysis. Rather Monte Carlo simulation is a method of performing experiments on functionally expressed models. As such, careful attention should be given to primary model construction, experimental design and statistical analysis. Although simulation procedures in general allow testing of various policies, decisions and rules relating to an operating system, Monte Carlo simulation facilitates a more vaned type of experimentation. This results from the random generation of finite observations for otherwise undefined functional relations. Monte Carlo is also well adapted to situations requiring an approximation of the stochastic influences often found in real world operating and decision systems. This is especially relevant when theoretical analysis is unable to relate certain phenomena. Monte Carlo techniques Frovide a means of experimentation from which statements of statistical inference may be made. Such inferences will facilitate logical consistency of analytical models. Monte Carlo techniques provide a means of performing experiments from whch statements of statistical inference may be made. © 1969 by the Canadian Agricultural Economics Society","",""
"Casler G.L.","Casler, George L. (6506545466)","6506545466","DEVELOPMENT OF A TWO‐STAGE EQUIPMENT ‐ ENTERPRISE SELECTION METHOD*","1969","Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977689087&doi=10.1111%2fj.1744-7976.1969.tb02470.x&partnerID=40&md5=64e01acc0e0cf725c5ace32a7ed694b3","The difficulties encountered with simultaneous equipment ‐ enterprise solution methods led the author of this paper to develop a two‐stage solution process. The unit‐flow technique was revised to handle efficiently large complex problems and yet be reasonably sure of integer solutions. This solution method was applied to two large problems: 1) corn havest, storage and feed processing, and 2) hog housing and manure handling; Three least cost building‐equipment systems were developed for alternative wage rates. A profit‐maximizing combination of enterprises was then developed with linear programming for each building‐equipment system. Comparison of net returns to the farm operator with each of the three systems allowed choice of the combination of enterprises and the building‐equipment system that resulted in the largest net return. While a simultaneous equipment‐enterprise selection method might have some advantages in developing solutions with slightly higher profit levels, the difficulties in constructing and solving such problems makes this technique unworkable at present. The two‐stage procedure reported in this article has advantages in time required to construct the model and, unlike integer programming, an assurance that an optimum solution will be obtained. COMBINAISON OPTIMAL DE L'ÉQUIPEMENT ET L'ENTREPRISE ‐ Les difficultées qui surgissent en sélectionnant les meilleurs combinations de la machinerie et l'entreprise amènent l'auteur de cet article à développer une solution en deux étapes. La technique appliquée fut développé pour deux problèmes; (1) la récolte du maïs, l'entreposage et le processus d'alimentation (2) les batiments de pores et le traitement d'engrais. Les méthodes moins coüteuses pour les batiments et l'outillage ont été aussi développé pour les différents taux de salaire. Pour un profit maximum d'entreprise, un programme linéaire a été employe pour chacun des trois systèmes. Tandis que la méthode de sélectionner l'équipment et l'entreprise a les avantages d'atteindre un degré de profit plus élevé, les difficultées qui surgissent dans la construction et la solution de ces problèmes rendent cette technique inexécutable pour le moment. En temps requis, le processus en deux étapes aura les avantages de construire un modèls et d'y assurer une solution. © 1969 by the Canadian Agricultural Economics Society","",""
"","","","Book Reviews","1968","The Manchester School","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980104709&doi=10.1111%2fj.1467-9957.1968.tb01075.x&partnerID=40&md5=0ef13752f44630851a1301af1a7b9d55","Book reviewed in this article New Developments in the Teaching of Economics. Edited by K. G. Lumsden. Assessing Economic Performance. By Michael Lipton. The European Free Trade Area Association and the Crisis of European Integration. By a Study Group of the Geneva Graduate Institute of International Studies. The Distribution of National Income. Edited by Jean Marchal and Bernard Ducros. National Economic Policy : The Presidential Reports. Edited with commentary by Reuben E. Slesinger. Real Wages in Germany 1871‐1913. By Ashok V. Desai. Foreign Exchange Crises. By Paul Einzig. Private Practice in Britain. By Samuel Mencher. The Economics of Subsistence Agriculture. By Colin Clark and M. R. Haswell. Input‐Output Table of the Greek Economy (Year 1960). By Dr. A. Koutsoyiannis Charting the British Economy. By Barbara Marlow, with a Prologue by George Polyani. Corporate Planning in Industry. By Aris Presanis. Copyright © 1968, Wiley Blackwell. All rights reserved","",""
"Coppock J.T.","Coppock, J.T. (7004467349)","7004467349","THE GEOGRAPHY OF AGRICULTURE","1968","Journal of Agricultural Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979193123&doi=10.1111%2fj.1477-9552.1968.tb01323.x&partnerID=40&md5=86657b8021014564b45518fae94d9038","This paper is a review of the work of agricultural geographers, with particular reference to Great Britain and to points of contact with agricultural economics. After a consideration of objectives and of the geographer's approach to the study of agriculture, contributions made by geographers to an understanding of regional differences in British agriculture are reviewed. Developments made possible by the advent of the electronic digital computer and automated cartography and by improvements in the statistical analysis of spatial data are then examined and topics where geographers and agricultural economists might co‐operate to their mutual benefit discussed. Copyright © 1968, Wiley Blackwell. All rights reserved","",""
"Awni-Al-Ani","Awni-Al-Ani (25021330400)","25021330400","German investment in developing countries","1969","Intereconomics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-52449143534&doi=10.1007%2fBF02927210&partnerID=40&md5=907b0f01991a1df828e32b536235e3aa","The Pros and Cons of direct investment promotion measures in overseas countries have recently become the subject of fierce controversy in all industrialised countries, including the Federal Republic of Germany. Advocates and opponents of such measures, however, almost exclusively try to analyse the desirability and effects of such investments in the industrialised countries only, virtually disregarding the problem of direct investment in developing countries. The Department on Development Policies of the Hamburg Institute for International Economics has therefore recently begun to investigate the volume, the motivation, and the success of German investments in the ""Third World"". The following report discusses the first results of this study. © 1969 HWWA and Springer-Verlag.","",""
"ONOYE E.","ONOYE, Etsuz (7801403345)","7801403345","REGIONAL DISTRIBUTION OF URBAN POPULATION IN CHINA","1969","The Developing Economies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0014753680&doi=10.1111%2fj.1746-1049.1970.tb00550.x&partnerID=40&md5=38be88f71a50e5b251d10e66dcb638f6","[No abstract available]","","Asia; China; Demography; Developing Countries; Economics; Far East; Geography; Health Services Accessibility; Industry; Population; Population Characteristics; Population Density; Residence Characteristics; Rural Population; Urban Population; Asia; China; Demographic Factors; Developing Countries; Eastern Asia; Economic Factors; Geographic Factors; Industry; Locale; Macroeconomic Factors; Population; Population Characteristics; Population Density; Residence Characteristics; Rural Population; Rural Spatial Distribution; Spatial Distribution; Urban Population; Urban Spatial Distribution; spatial distribution; article; Asia; China; Demographic Factors; demography; developing country; Eastern Asia; Economic Factors; economics; Far East; Geographic Factors; geography; health care delivery; industry; Locale; Macroeconomic Factors; population; population and population related phenomena; population density; rural population; Rural Spatial Distribution; urban population; Urban Spatial Distribution"
"Votey Jr. H.L.","Votey Jr., Harold L (6602761848)","6602761848","The optimum population and growth: A new look. A modification to include a preference for children in the welfare function","1969","Journal of Economic Theory","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0014579465&doi=10.1016%2f0022-0531%2869%2990034-9&partnerID=40&md5=00da9d0027b7a6b808fc931fc1f0a73a","The optimum population is, then, less than the maximum. The difficulty of defining the optimum is enormous; so far as I know, no one has seriously tackled this problem. Reaching an acceptable and stable solution will surely require more than one generation of hard analytical work-and much persuasion.1 1 Hardin [9], Presidential address presented before the meeting of the Pacific Division of the American Association for the Advancement of Science, utah State University, Logan, 25 June 1968. Professor Hardin is a professor of biology at the University of California, Santa Barbara. © 1969.","","Demography; Economics; Models, Economic; Models, Theoretical; Population; Population Dynamics; Population Growth; Research; Social Sciences; Socioeconomic Factors; Demographic Factors; Demography; Economic Factors; Economic Model; Models, Theoretical; Population; Population Dynamics; Population Growth; Research Methodology; Social Sciences; Socioeconomic Factors; article; Demographic Factors; demography; Economic Factors; Economic Model; economics; population; population dynamics; population growth; research; Research Methodology; socioeconomics; sociology; statistical model; theoretical model"
"Luby P.J.","Luby, Patrick J. (57153983100)","57153983100","What agribusiness economists can contribute to the content and equipment agricultural economics","1969","American Journal of Agricultural Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960566275&doi=10.2307%2f1237599&partnerID=40&md5=ffc872a46f603ba35379418baff460f7","[No abstract available]","",""
"Hathaway D.E.","Hathaway, Dale E. (57101233700)","57101233700","The economics of agricultural economics","1969","American Journal of Agricultural Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954717822&doi=10.2307%2f1237957&partnerID=40&md5=4e5a995a731bf3da1fd358912f81eab7","[No abstract available]","",""
"Ruttan V.W.","Ruttan, Vernon W. (7003856849)","7003856849","Issues in the evolution of production economics","1967","American Journal of Agricultural Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954840905&doi=10.2307%2f1237049&partnerID=40&md5=822dbaa56c4f0c3125eebee10b10dd7b","[No abstract available]","",""
"MANNING T.W.","MANNING, TRAVIS W. (57190141682)","57190141682","Graduate Education In Agricultural Economics","1966","Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977699489&doi=10.1111%2fj.1744-7976.1966.tb02381.x&partnerID=40&md5=8dc61eba3cf97414b73417b3cfedda9a","[No abstract available]","",""
"Lewis A.B.","Lewis, A.B. (57212697303)","57212697303","Training foreign graduate students in agricultural economics","1967","American Journal of Agricultural Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911579879&doi=10.2307%2f1236902&partnerID=40&md5=53e5372e2da84ee9de2b9a74706d0181","Training in agricultural economics for graduate students from traditional countries poses special problems for American teachers, chiefly because of the very different habits of thought and social philosophies of such students. These habits and philosophies are typical of the leadership of traditional countries and hinder the agricultural development of these countries in various ways, often leading to the adoption of unwise national agricultural policies. To transform traditional scholars into scientists who can and will analyze the policies and programs of their own country objectively and constructively, teachers in each area of specialization in agricultural economics should put more stress on practical measurement, the derivation of principles, and their application, and should draw upon examples from many parts of the world. The same kind of teaching is essential for American graduate students if they are to understand and cope with world agricultural economic problems. © 1967, Oxford University Press.","",""
"Grove E.W.","Grove, Ernest W. (7006085880)","7006085880","The stern test of objectivity for the useful science of agricultural economics: Comment","1968","American Journal of Agricultural Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960576710&doi=10.2307%2f1237881&partnerID=40&md5=786980ab48bb524a728400eb133e6c4a","[No abstract available]","",""
"Hassler J.B.","Hassler, James B. (7004726992)","7004726992","Discussion: Quantitative economics","1968","American Journal of Agricultural Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960573326&doi=10.2307%2f1237378&partnerID=40&md5=4c29aff1b80750213a39f2f87bd2cd1f","[No abstract available]","",""
"LERMER G.","LERMER, G. (57190141576)","57190141576","THE FUTURES‘ MARKET AND FARM PROGRAMS","1968","Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916956163&doi=10.1111%2fj.1744-7976.1968.tb02427.x&partnerID=40&md5=ae55204a25d2a945671c520ec8155e65","Government agriculture price support programs lead to inefficient allocation of resources, as well as highly inequitable rent returns to certain farm owners. At the same time, it is clear that society is not willing to leave the farmer to the vagaries of the market. This paper offers a suggestion for a Government support program that would not discriminate among farmers, and even more important, not discriminate among products, and at the same time minimize the disutility caused by the uncertainties of agricultural production. © 1968 by the Canadian Agricultural Economics Society","",""
"Cramer G.L.; Sokoloski A.A.","Cramer, Gail L. (7006638443); Sokoloski, Adam A. (57166664300)","7006638443; 57166664300","Ph.d. programs in agricultural economics in the united states","1966","American Journal of Agricultural Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959741726&doi=10.2307%2f1236873&partnerID=40&md5=11c7fd2c308049e5082317796a8b7a1f","This article summarizes portions of a mail survey of ""official study plans"" of Ph.D. candidates in agricultural economics with programs in progress during the school year 1964–65. All course work was classified into agricultural economics, economics, statistics, mathematics, and miscellaneous groupings, by size of agricultural economics departments. Additional information is given on areas of emphasis in the masters and undergraduate programs of these candidates. Two major conclusions may be drawn from the data: (1) Whatever the stated requirements may be, there is a wide gap between the amount of quantitative training suggested for ""ideal"" programs and the amount actually acquired by most graduate students, a gap which has been underestimated by contributors to this journal. (2) Part of the problem of graduate training in agricultural economics results from the differences in graduate students' undergraduate training. © 1966, Oxford University Press.","",""
"BAUER P.T.","BAUER, P.T. (24564029000)","24564029000","Economics as a Form of Technical Assistance","1967","The Manchester School","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980093544&doi=10.1111%2fj.1467-9957.1967.tb01211.x&partnerID=40&md5=c27b4653c18b1bcfe28a5e95c02437f1","[No abstract available]","",""
"Cromarty W.A.","Cromarty, William A. (56965542200)","56965542200","Production economics and policy planning: An agribusiness interest","1967","American Journal of Agricultural Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960595918&doi=10.2307%2f1237048&partnerID=40&md5=a73def7065a456782c493fd6f8d3616f","[No abstract available]","",""
"King G.J.","King, G. Joseph (56929852500)","56929852500","Normative Elements in Economics: Comment","1968","Review of Social Economy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945597039&doi=10.1080%2f00346766800000004&partnerID=40&md5=26938511df2c980a918d825759f16b20","[No abstract available]","",""
"Penny D.H.","Penny, D.H. (56936521800)","56936521800","The Economics of Peasant Agriculture: The Indonesian Case","1966","Bulletin of Indonesian Economic Studies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84914382079&doi=10.1080%2f00074916612331332977&partnerID=40&md5=1f7480a4a8f772a6bad1467981794958","When after a long period of time all grounds on Java have been opened up, it will have over its whole surface a population quite the same as that which now inhabits and cultivates a part of that surface; namely a population which, huddled together everywhere, will consist of countless millions of tenants on whole, half, and quarter acres of land, each farming to obtain his food, each growing rice and nothing else, each farming for an income like that of the meanest day labourer, each using what his small plot of land yields him and his land rent leaves him to gratify the essential needs of life. © 1966, Taylor & Francis Group, LLC. All rights reserved.","",""
"Godfrey M.D.","Godfrey, M.D. (57190466481)","57190466481","THE STATISTICAL ANALYSIS OF STOCHASTIC PROCESSES IN ECONOMICS","1967","Kyklos","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980123437&doi=10.1111%2fj.1467-6435.1967.tb00854.x&partnerID=40&md5=1d940cbff07fc8fbd19b843d39774ca5","[No abstract available]","",""
"HUTT W.H.","HUTT, W.H. (6603288146)","6603288146","UNANIMITY VERSUS NON‐DISCRIMINATION (AS CRITERIA FOR CONSTITUTIONAL VALIDITY)","1966","South African Journal of Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977705202&doi=10.1111%2fj.1813-6982.1966.tb03057.x&partnerID=40&md5=15e4a6c22859ee63b6150885dd362f1e","The doctrinal evolution which led, early this century, to the gradual substitution of the term ‘economics’ for ‘political economy’ can by no means be thought of as a wholly beneficial specialisation. Indeed, among the problems which arise in the study of issues in which economic science and political science overlap are some of the most difficult as well as the most vital in the era which appears to be emerging. During the last decade, several works of importance have been published devoted to analysis of these issues. They are all broadly concerned with alternative yet complementary ways in which man's objectives may be sought, namely, via centralised, governmental decision‐making (whether democratically controlled or undemocratic) and via democratic consumers' sovereignty (i.e., via‘free’ markets). These studies have, in other words, concentrated attention upon two distinct and very different methods of exercising social discipline upon those who determine resource use — through governments (possibly disciplined by the ballot box) or through business entrepreneurs (disciplined by the loss‐avoidance, profit‐seeking sanctions). Copyright © 1966, Wiley Blackwell. All rights reserved","",""
"Wise J.O.","Wise, James O. (7202529379)","7202529379","On the emphasis for agricultural economics","1966","American Journal of Agricultural Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960553669&doi=10.2307%2f1236189&partnerID=40&md5=f2c7c2634ef119c45fe3384b49991414","[No abstract available]","",""
"Beck R.L.","Beck, Robert L. (7403182636)","7403182636","Curricula for the terminal b.s. degree in agricultural economics: A neglected area","1966","American Journal of Agricultural Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960605132&doi=10.2307%2f1237190&partnerID=40&md5=deec88caf709c11e6a0aa8c18cbc7fef","[No abstract available]","",""
"Scott J.T., Jr.","Scott, John T. (55477078500)","55477078500","Retrieval of agricultural economics literature","1966","American Journal of Agricultural Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960615675&doi=10.2307%2f1236248&partnerID=40&md5=e11fec5efb08188465eede83098f3c43","[No abstract available]","",""
"CAPEL R.E.","CAPEL, R.E. (57190143652)","57190143652","PREDICTING WHEAT ACREAGE IN THE PRAIRIE PROVINCES","1968","Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0345430504&doi=10.1111%2fj.1744-7976.1968.tb02434.x&partnerID=40&md5=15c313e5f1538bd9662d728a00fd18c5","Two models incorporating distributed lags are used to forecast next year's acreage of wheat to be harvested in the Prairie Provinces. © 1968 by the Canadian Agricultural Economics Society","",""
"HIESER R.O.","HIESER, R.O. (57217918346)","57217918346","LINEAR ECONOMICS: THE MULTIPLIER‐ACCELERATOR NEXUS","1967","Australian Economic Papers","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981820358&doi=10.1111%2fj.1467-8454.1967.tb00144.x&partnerID=40&md5=bc4cb97ac664d4d57440e07dba5dbc9b","[No abstract available]","",""
"Littleton I.T.","Littleton, I.T. (57166478300)","57166478300","Publication, indexing, and retrieval of agricultural economics literature","1967","American Journal of Agricultural Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960573332&doi=10.2307%2f1237061&partnerID=40&md5=ab6557416e3d5d1ec8d9203b5bd0f895","[No abstract available]","",""
"Hardin L.S.","Hardin, Lowell S. (57165904700)","57165904700","Improving international and domestic components of agricultural economics education overseas","1966","American Journal of Agricultural Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960583818&doi=10.2307%2f1237183&partnerID=40&md5=f16af3e65151b49dce59d09d64b7826b","[No abstract available]","",""
"Eolsen H.M.","Eolsen, H.M. (57190332535)","57190332535","The Economics of Electricity Pricing in N. S. W.","1966","Economic Record","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979184120&doi=10.1111%2fj.1475-4932.1966.tb02987.x&partnerID=40&md5=bd1fa21899504320d986b6f2aad12852","[No abstract available]","",""
"Bronfenbrenner M.","Bronfenbrenner, Martin (16498323800)","16498323800","THE MARXIAN MACRO‐ECONOMIC MODEL: EXTENSION FROM TWO DEPARTMENTS","1966","Kyklos","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980123660&doi=10.1111%2fj.1467-6435.1966.tb02501.x&partnerID=40&md5=8bcfb29bb12c8ad17e4aa330a4b6d2cb","In its aggregative aspects, the Marxian System involves two sectors or departments. Department I produces capital goods while Department II produces consumer goods (plus capital instruments specialized to their production). Some subsequent writers, following Bortkiewicz, have added a third department producing luxuries particularly metallic money. The writer has previously shown that the two‐sector Marxian model is transformable into a balanced Walrasian general‐equilibrium one, with a few functional relations interpreted as implicit in Marx, and a number of other relations treated as technically given, after the fashion of modern ‘linear economics’. In the present essay, the argument is generalized to the case where the two departments are further subdivided into n and m sectors respectively. The main substantive change turns out to be the addition of many more structural constants, which are taken as technically given. The second part of the essay returns to the two‐department level of aggregation and develops a diagrammatic representation of Marxian dynamics. Some Marxian writers stress the falling rate of profit, others the tendency toward overproduction, as the primary force for capitalist stagnation or breakdown. This presentation is among the minority which seeks to combine the two in a ‘dilemma’ model. Copyright © 1966, Wiley Blackwell. All rights reserved","",""
"Breimyer H.F.","Breimyer, Harold F. (6507468119)","6507468119","The stern test of objectivity for the useful science of agricultural economics: Reply","1968","American Journal of Agricultural Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960579560&doi=10.2307%2f1237882&partnerID=40&md5=32386a96c2017fe2ef9032c12ed517df","[No abstract available]","",""
"Küster G.H.","Küster, Georg H. (25021806400)","25021806400","Results of a traineeship in Japan","1967","Intereconomics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-52449143833&doi=10.1007%2fBF02930364&partnerID=40&md5=2e2813afaa2bfdd1ba201081b852bc0f","In order to give more effect to the theoretical university education a stay in foreign countries for the achievement of practical experiences is increasingly promoted. The German Committee of the International Association of Students of Economics (AIESEC) as a leading organisation is making efforts to realise a programme for the exchange of students to improve their professional training. These attempts are supported by the State and private institutions. In the following contribution the author reports on his experiences in Japan and discusses the various functions which can be fulfilled by a student traineeship on an international basis. © 1967 HWWA and Springer-Verlag.","",""
"","","","THE AGRICULTURAL ECONOMICS SOCIETY","1967","Journal of Agricultural Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979191241&doi=10.1111%2fj.1477-9552.1967.tb02225.x&partnerID=40&md5=dd85b285b4140525ddf1158caee1e95e","[No abstract available]","",""
"GALLAWAY L.E.; GILBERT R.F.; SMITH P.E.","GALLAWAY, L.E. (6602837377); GILBERT, R.F. (57190334562); SMITH, P.E. (55723643800)","6602837377; 57190334562; 55723643800","THE ECONOMICS OF LABOR MOBILITY: AN EMPIRICAL ANALYSIS","1967","Economic Inquiry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979184515&doi=10.1111%2fj.1465-7295.1967.tb01922.x&partnerID=40&md5=130e54d551c1549cceac0f1dbbd0ea2f","[No abstract available]","",""
